gameid,winning_team_champions,losing_team_champions
10161-10161_game_1,"[12, 7, 53, 75, 90]","[110, 23, 156, 95, 51]"
10161-10161_game_2,"[78, 18, 155, 95, 100]","[47, 23, 53, 75, 10]"
10162-10162_game_1,"[17, 6, 12, 75, 31]","[110, 18, 155, 95, 90]"
10162-10162_game_2,"[12, 18, 8, 37, 90]","[1, 23, 156, 75, 51]"
10162-10162_game_3,"[47, 23, 53, 20, 101]","[78, 146, 155, 75, 90]"
10163-10163_game_1,"[47, 146, 156, 75, 161]","[39, 18, 155, 95, 51]"
10163-10163_game_2,"[44, 91, 156, 37, 90]","[78, 18, 8, 95, 38]"
10163-10163_game_3,"[110, 18, 156, 75, 31]","[47, 23, 155, 95, 114]"
10164-10164_game_1,"[22, 18, 53, 75, 10]","[47, 146, 77, 9, 31]"
10164-10164_game_2,"[78, 18, 47, 15, 16]","[133, 91, 12, 75, 31]"
10164-10164_game_3,"[12, 2, 29, 75, 161]","[110, 18, 81, 15, 16]"
10165-10165_game_1,"[12, 92, 48, 95, 114]","[82, 7, 156, 75, 31]"
